,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1584.jpg,0,1,1,1,1,13,11,26,36,41,48,48,59,67,68,69,68,67,67,40,41,25,24,26,20,18,22,20,22,20,21,18,14,16,18,17,16,20,18,17,15,19,16,17,22,13,15,15,14,17,18,18,22,63,67,89,89,92,92,93,93,91,94,93,32,33,30,26,10,2,0,2,0,0,0,0,0,0,0,0,1,1,2,5,6,7,8,59,59,60,61,60,60,59,56,14,0,0,0,0
1603.jpg,0,0,0,0,0,0,0,0,3,11,11,22,30,34,50,68,68,67,66,65,57,44,38,29,17,17,14,13,19,17,17,16,18,19,19,17,17,17,17,15,15,18,15,13,13,14,12,13,22,23,35,60,62,73,86,90,90,93,91,83,69,62,39,13,12,9,5,0,2,0,1,1,0,0,0,0,0,0,2,4,6,44,58,59,62,60,60,62,52,50,26,17,2,8,1,2,0,0,0,0
1605.jpg,0,0,0,0,0,0,0,0,22,27,30,40,43,64,67,67,63,63,63,61,55,53,34,35,26,20,20,20,18,22,19,17,17,16,16,14,14,15,14,17,16,17,18,15,15,15,15,14,18,14,20,30,29,58,74,77,88,84,89,87,86,87,41,39,30,26,22,19,11,12,3,1,0,0,0,0,0,0,0,0,5,16,36,49,49,58,58,54,54,19,18,14,10,1,10,1,0,0,0,0
1621.jpg,0,2,0,3,16,19,26,28,60,63,66,67,63,64,63,63,56,50,46,17,23,17,19,19,17,17,16,18,17,15,17,15,20,16,16,19,14,16,14,14,17,13,18,16,20,16,15,21,16,18,18,21,38,46,86,87,87,87,87,87,88,87,85,39,36,21,18,1,1,4,3,0,0,0,0,0,0,0,0,0,0,2,4,8,8,9,23,61,68,68,68,69,69,70,67,63,54,2,1,5
163.jpg,0,1,1,2,0,0,6,7,15,16,24,23,59,57,57,60,60,59,56,57,55,53,46,39,18,19,18,14,15,15,16,16,12,15,13,16,13,11,14,13,13,15,15,14,14,16,13,14,13,14,12,11,12,11,12,17,18,17,17,21,18,19,83,85,87,86,87,88,87,86,86,86,86,41,18,11,8,6,1,0,2,0,0,3,7,10,12,16,15,44,48,50,49,50,47,45,45,20,16,5
1641.jpg,0,0,0,0,1,8,9,14,15,63,67,72,75,74,73,74,71,70,67,62,39,39,25,18,21,19,19,19,20,18,17,16,14,15,16,16,18,16,19,17,13,17,15,16,15,12,16,11,14,18,14,19,13,16,15,17,18,21,70,87,90,92,89,90,89,90,70,65,4,1,1,1,0,0,0,0,0,0,0,0,1,2,5,7,9,25,65,69,71,72,69,70,68,64,62,19,0,0,0,0
1661.jpg,0,0,0,0,0,0,0,0,16,17,24,69,70,68,69,70,69,67,67,65,64,54,51,32,18,22,18,20,21,17,20,17,18,16,13,19,17,16,20,15,17,16,18,16,17,21,18,15,24,20,30,73,76,83,83,86,91,92,92,92,94,94,93,93,17,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,8,20,62,63,63,64,64,63,65,62,62,59,0,0,0,0
1679.jpg,0,0,2,3,19,23,32,60,67,69,67,67,68,66,64,63,62,58,33,30,22,20,23,18,20,20,16,19,16,15,18,15,15,17,13,15,17,14,15,10,14,15,13,15,13,13,15,12,19,22,29,26,31,57,84,86,85,86,87,86,83,83,82,79,24,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,13,14,57,67,72,75,76,75,75,72,70,69,64,12,7,4,3
1691.jpg,0,0,0,0,0,0,0,0,2,1,0,0,2,1,5,22,26,30,61,58,59,60,57,56,54,37,35,29,20,15,22,18,17,17,16,17,16,17,17,18,17,14,16,17,15,22,25,29,37,55,60,63,74,77,76,87,87,73,76,54,44,44,37,27,26,14,12,8,2,0,1,0,1,2,6,12,12,44,56,56,56,54,50,49,21,16,13,4,0,0,0,0,0,0,0,0,0,0,0,0
1710.jpg,0,0,0,0,0,0,1,18,24,30,26,64,73,78,77,75,75,72,73,72,66,62,57,53,26,25,28,23,23,23,20,18,13,20,20,18,18,14,15,20,19,20,16,21,19,19,24,18,26,76,78,87,91,90,91,90,90,92,91,92,91,43,21,18,8,6,1,1,1,0,2,0,0,0,0,0,0,0,0,0,9,8,8,25,29,62,61,63,62,63,62,62,58,16,5,2,0,0,0,0
1730.jpg,0,2,0,7,14,18,67,67,68,67,66,67,63,64,29,29,27,21,24,23,25,20,18,22,17,19,20,19,19,19,20,18,16,21,15,19,18,14,18,18,17,15,16,17,18,16,16,17,38,52,55,82,82,84,82,83,80,79,79,20,19,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,9,6,21,33,35,62,61,63,64,64,65,63,63,50,45,5,3,2,2
