,H,d_c,cluster
0,7.456079278534727,194.5,38.0
0,7.4006805962290185,195.0,35.0
0,7.42201997018521,195.5,36.0
0,7.393639125117431,196.0,38.0
0,7.383057980168881,196.5,39.0
0,7.290697323789153,197.0,42.0
0,7.309671956454396,197.5,46.0
0,7.258627263181033,198.0,45.0
0,7.249431776990253,198.5,51.0
0,7.168710396965417,199.0,42.0
0,7.161922797774602,199.5,37.0
0,6.874922222972762,200.0,42.0
0,6.881354343747568,200.5,40.0
0,6.694752811905415,201.0,38.0
0,6.6596943417805665,201.5,36.0
0,6.653109528951191,202.0,33.0
0,6.682514569550916,202.5,36.0
0,6.667909640309134,203.0,41.0
0,6.6440413056321015,203.5,39.0
0,6.622460433984617,204.0,48.0
0,6.61603976570878,204.5,46.0
0,6.857248874930222,205.0,50.0
0,6.772638023405846,205.5,46.0
0,6.82462545488658,206.0,44.0
0,6.799373687391475,206.5,48.0
0,6.735009785571593,207.0,55.0
0,6.745603994705389,207.5,57.0
0,6.612571217042022,208.0,50.0
0,6.580965049713148,208.5,47.0
0,6.55650788349895,209.0,57.0
0,6.613272112769259,209.5,61.0
0,6.48879086192578,210.0,52.0
0,6.48468254884032,210.5,49.0
0,6.390602813302294,211.0,56.0
0,6.407177219708511,211.5,59.0
0,6.2897343433321335,212.0,65.0
0,6.293138419347427,212.5,65.0
0,6.060597250071758,213.0,67.0
0,5.865125616346551,213.5,68.0
0,6.1224068632389015,214.0,71.0
0,6.127285171909414,214.5,69.0
0,6.05501137641538,215.0,69.0
0,6.053614741261306,215.5,71.0
0,6.0536386076315685,216.0,71.0
0,6.048681720452379,216.5,69.0
0,5.947501972493038,217.0,57.0
0,6.148519145763351,217.5,54.0
0,6.061967332047468,218.0,58.0
0,6.059739939385865,218.5,57.0
0,5.979674285594694,219.0,61.0
0,5.994089055560651,219.5,62.0
0,5.938073927529066,220.0,66.0
0,5.944531245014641,220.5,71.0
0,5.836785128401931,221.0,58.0
0,5.843940763464542,221.5,60.0
0,5.732316455288538,222.0,65.0
0,5.758295435355943,222.5,67.0
0,5.652529740459195,223.0,68.0
0,5.6368680454642694,223.5,69.0
0,5.505219505779278,224.0,65.0
0,5.505219505779278,224.5,65.0
0,5.436974999122878,225.0,66.0
0,5.43204675672187,225.5,65.0
0,4.892803677013571,226.0,73.0
0,4.897731919414579,226.5,74.0
0,4.780561158374627,227.0,75.0
0,4.779032083290059,227.5,75.0
0,4.039301255105815,228.0,64.0
0,4.044229497506823,228.5,65.0
0,3.9216234437322544,229.0,55.0
0,3.9265516861332626,229.5,56.0
0,3.7858725638671658,230.0,62.0
0,3.773500846923761,230.5,61.0
0,3.721666005352427,231.0,63.0
0,3.7431925997766102,231.5,59.0
0,3.6936836807969438,232.0,64.0
0,3.7013127729373565,232.5,61.0
0,3.6479778017054554,233.0,53.0
0,3.5981325582425634,233.5,58.0
0,3.488820995640584,234.0,57.0
0,3.322483223576494,234.5,59.0
0,3.2772781484692164,235.0,50.0
0,3.2358476985391116,235.5,54.0
0,3.0112500841577563,236.0,45.0
0,3.011250084157756,236.5,45.0
0,2.9499221915964715,237.0,48.0
0,2.949922191596472,237.5,48.0
0,2.859135886382339,238.0,47.0
0,2.860817152957843,238.5,45.0
0,2.9352822658196978,239.0,49.0
0,2.925425781017682,239.5,49.0
0,2.9031110672897853,240.0,53.0
0,2.9031110672897853,240.5,53.0
0,2.813344434419562,241.0,50.0
0,2.8198017519051377,241.5,51.0
0,2.5922115818944493,242.0,47.0
0,2.5922115818944493,242.5,47.0
0,2.399935613527868,243.0,48.0
0,2.399935613527868,243.5,48.0
0,2.2551795054388104,244.0,46.0
0,2.399615343823782,244.5,53.0
0,2.3421158758906517,245.0,53.0
0,2.3421158758906513,245.5,53.0
0,2.305549914285919,246.0,48.0
0,2.5870063157236576,246.5,59.0
0,2.3993774226372615,247.0,54.0
0,2.40430566503827,247.5,55.0
0,2.298073891670995,248.0,50.0
0,2.298073891670995,248.5,50.0
0,2.156931270776191,249.0,50.0
0,2.1520030283751828,249.5,49.0
0,2.0508403496300947,250.0,46.0
0,2.0521907744997967,250.5,45.0
0,2.099243917270732,251.0,43.0
0,2.101811206863622,251.5,38.0
0,2.1096108524497668,252.0,39.0
0,2.126622972314395,252.5,39.0
0,1.985193341099538,253.0,37.0
0,1.9860703088914395,253.5,37.0
0,1.8638358546973206,254.0,36.0
0,1.796344385165755,254.5,39.0
0,1.691957047360008,255.0,39.0
0,1.6919570473600083,255.5,39.0
0,1.520230076635787,256.0,38.0
0,1.835323070851837,256.5,40.0
0,1.8066256755388381,257.0,40.0
0,1.461181807339089,257.5,39.0
0,1.4856102035417327,258.0,39.0
0,1.4856102035417327,258.5,39.0
0,1.4963699319106583,259.0,35.0
0,1.4963699319106583,259.5,35.0
0,1.282612491550248,260.0,34.0
0,1.282612491550248,260.5,34.0
0,1.2083628910235689,261.0,30.0
0,1.2083628910235689,261.5,30.0
0,1.142535248486944,262.0,30.0
0,1.142535248486944,262.5,30.0
0,1.3423878166639278,263.0,25.0
0,1.3435595913187643,263.5,25.0
0,1.2401983485367474,264.0,23.0
0,1.245126590937756,264.5,24.0
0,1.2115901638580748,265.0,25.0
0,1.2115901638580746,265.5,25.0
