,H,d_c,cluster
0,5.320109286822095,115.5,30.0
0,5.325298001263853,116.0,34.0
0,5.223299668843144,116.5,29.0
0,5.151901056933631,117.0,31.0
0,5.217982633720686,117.5,32.0
0,5.160332192106206,118.0,31.0
0,5.137338306606594,118.5,31.0
0,4.87007206441686,119.0,31.0
0,4.8578214915619995,119.5,30.0
0,4.8731596036593325,120.0,34.0
0,5.031480643543839,120.5,27.0
0,4.988658329011102,121.0,30.0
0,4.6893575671032615,121.5,31.0
0,4.623138476688163,122.0,30.0
0,4.650483915333295,122.5,34.0
0,4.557180100738298,123.0,30.0
0,4.535839284358069,123.5,26.0
0,4.4910966100755925,124.0,28.0
0,4.411140594673911,124.5,25.0
0,4.344523792446867,125.0,24.0
0,3.9558394125197216,125.5,22.0
0,3.95093125897547,126.0,27.0
0,4.007621545223461,126.5,28.0
0,4.491172569646093,127.0,31.0
0,4.49222274766619,127.5,31.0
0,4.376421952819953,128.0,31.0
0,4.227468292694367,128.5,27.0
0,4.1593107976549515,129.0,29.0
0,4.140448756362871,129.5,29.0
0,4.049889889679736,130.0,29.0
0,4.133212579658271,130.5,30.0
0,4.059415314288296,131.0,31.0
0,4.059415314288296,131.5,31.0
0,3.816886607902452,132.0,29.0
0,4.004194848546196,132.5,28.0
0,3.8902940085459337,133.0,26.0
0,3.8948929813300386,133.5,25.0
0,3.12033593065923,134.0,26.0
0,3.1203359306592295,134.5,26.0
0,3.086274704723119,135.0,25.0
0,3.086274704723119,135.5,25.0
0,3.086274704723119,136.0,28.0
0,3.0833991393906706,136.5,30.0
0,3.269246596922059,137.0,26.0
0,3.268895302475162,137.5,24.0
0,3.17316050769619,138.0,19.0
0,3.1788747934104755,138.5,21.0
0,2.7699588343466717,139.0,21.0
0,2.7407776649279616,139.5,17.0
0,2.7062752544181152,140.0,19.0
0,3.020481938557097,140.5,15.0
0,2.7007935724096885,141.0,17.0
0,2.8027373414452503,141.5,16.0
0,2.622367832159289,142.0,15.0
0,2.8474056648928645,142.5,19.0
0,2.656090770241141,143.0,20.0
0,2.656090770241141,143.5,20.0
0,2.4308648885313913,144.0,19.0
0,2.415122674233314,144.5,19.0
0,2.4179574330313196,145.0,19.0
0,2.432299004484616,145.5,18.0
0,2.452127798434399,146.0,21.0
0,2.4246797541417324,146.5,19.0
0,2.800693579548606,147.0,19.0
0,2.5132338467820516,147.5,14.0
0,2.6336664739851754,148.0,14.0
0,2.544729708565119,148.5,16.0
0,2.583704916819759,149.0,17.0
0,2.583704916819759,149.5,17.0
0,2.1178847671900707,150.0,18.0
